 Name                          Version      License                                            Author                                                                                                                                                URL                                                                           
 pycit                         0.0.7        MIT License                                        Alan Yang                                                                                                                                             https://github.com/syanga/pycit                                               
 pydot                         4.0.0        UNKNOWN                                            Ero Carrera <ero.carrera@gmail.com>, Peter Nowee <peter@peternowee.com>, Łukasz <lukaszlapinski7@gmail.com>, "FeRD (Frank Dana)" <ferdnyc@gmail.com>  https://github.com/pydot/pydot                                                
 pyparsing                     3.2.3        MIT License                                        Paul McGuire <ptmcg.gm+pyparsing@gmail.com>                                                                                                           https://github.com/pyparsing/pyparsing/                                       
 python-dateutil               2.9.0.post0  Apache Software License; BSD License               Gustavo Niemeyer                                                                                                                                      https://github.com/dateutil/dateutil                                          
 pytz                          2025.2       MIT License                                        Stuart Bishop                                                                                                                                         http://pythonhosted.org/pytz                                                  
 requests                      2.32.3       Apache Software License                            Kenneth Reitz                                                                                                                                         https://requests.readthedocs.io                                               
 rich                          14.0.0       MIT License                                        Will McGugan                                                                                                                                          https://github.com/Textualize/rich                                            
 scikit-learn                  1.4.2        BSD License                                        UNKNOWN                                                                                                                                               https://scikit-learn.org                                                      
 scipy                         1.13.0       BSD License                                        UNKNOWN                                                                                                                                               https://scipy.org/                                                            
 seaborn                       0.13.2       BSD License                                        Michael Waskom <mwaskom@gmail.com>                                                                                                                    https://github.com/mwaskom/seaborn                                            
 six                           1.17.0       MIT License                                        Benjamin Peterson                                                                                                                                     https://github.com/benjaminp/six                                              
 statsmodels                   0.14.4       BSD License                                        UNKNOWN                                                                                                                                               https://www.statsmodels.org/                                                  
 tensorboard                   2.18.0       Apache Software License                            Google Inc.                                                                                                                                           https://github.com/tensorflow/tensorboard                                     
 tensorboard-data-server       0.7.2        Apache Software License                            Google Inc.                                                                                                                                           https://github.com/tensorflow/tensorboard/tree/master/tensorboard/data/server 
 tensorflow                    2.18.0       Apache Software License                            Google Inc.                                                                                                                                           https://www.tensorflow.org/                                                   
 tensorflow-io-gcs-filesystem  0.37.1       Apache Software License                            Google Inc.                                                                                                                                           https://github.com/tensorflow/io                                              
 termcolor                     3.1.0        UNKNOWN                                            Konstantin Lepa <konstantin.lepa@gmail.com>                                                                                                           https://github.com/termcolor/termcolor                                        
 threadpoolctl                 3.6.0        BSD License                                        Thomas Moreau                                                                                                                                         https://github.com/joblib/threadpoolctl                                       
 tqdm                          4.67.1       MIT License; Mozilla Public License 2.0 (MPL 2.0)  UNKNOWN                                                                                                                                               https://tqdm.github.io                                                        
 typing_extensions             4.13.2       UNKNOWN                                            "Guido van Rossum, Jukka Lehtosalo, Łukasz Langa, Michael Lee" <levkivskyi@gmail.com>                                                                 https://github.com/python/typing_extensions                                   
 tzdata                        2025.2       Apache Software License                            Python Software Foundation                                                                                                                            https://github.com/python/tzdata                                              
 urllib3                       2.4.0        UNKNOWN                                            Andrey Petrov <andrey.petrov@shazow.net>                                                                                                              https://github.com/urllib3/urllib3/blob/main/CHANGES.rst                      
 wrapt                         1.17.2       BSD License                                        Graham Dumpleton                                                                                                                                      https://github.com/GrahamDumpleton/wrapt                                      
 xgboost                       3.0.1        Apache Software License                            Hyunsu Cho <chohyu01@cs.washington.edu>, Jiaming Yuan <jm.yuan@outlook.com>                                                                           https://github.com/dmlc/xgboost                                               
